"","Fecha","Prec","pet","Q"
"163","07/01/1971",1.069571429,61.20685714,14.12
"164","08/01/1971",4.580714286,88.23185714,10.96
"165","09/01/1971",10.47371429,96.89771429,8.49
"166","10/01/1971",42.55585714,112.1735714,6.95
"167","11/01/1971",57.05357143,112.4178571,10.39
"168","12/01/1971",194.5697143,98.27857143,24.37
"169","01/01/1972",236.8377143,88.50185714,159.69
"170","02/01/1972",161.5542857,80.02814286,198.62
"171","03/01/1972",167.6388571,84.84471429,161.97
"172","04/01/1972",33.953,86.74757143,11.61
"173","05/01/1972",6.605285714,83.80357143,38.82
"174","06/01/1972",0.219,69.02214286,20.27
"175","07/01/1972",2.502,71.70728571,14.93
"176","08/01/1972",7.249142857,86.80114286,9.66
"177","09/01/1972",36.68785714,95.14642857,7.8
"178","10/01/1972",81.99642857,113.6268571,8.99
"179","11/01/1972",69.08171429,108.7117143,10.16
"180","12/01/1972",136.0814286,96.68385714,36.83
"181","01/01/1973",191.4232857,99.21057143,149.51
"182","02/01/1973",174.4522857,80.95228571,251.61
"183","03/01/1973",151.8475714,90.697,273.36
"184","04/01/1973",89.96671429,88.128,178.27
"185","05/01/1973",21.26642857,79.91428571,63.39
"186","06/01/1973",0.288714286,65.78571429,28.83
"187","07/01/1973",9.693571429,57.72485714,18.9
"188","08/01/1973",6.570857143,80.79157143,14.36
"189","09/01/1973",35.88328571,100.0898571,12.25
"190","10/01/1973",40.04328571,117.1558571,22.41
"191","11/01/1973",48.80028571,111.8678571,14.56
"192","12/01/1973",92.08928571,105.08,20.11
"193","01/01/1974",237.895,95.91671429,169.13
"194","02/01/1974",159.1347143,77.06271429,383.3
"195","03/01/1974",105.3761429,90.45685714,320.64
"196","04/01/1974",47.36057143,85.12857143,141.97
"197","05/01/1974",3.139285714,81.14357143,49.02
"198","06/01/1974",2.045571429,60.18871429,20.35
"199","07/01/1974",0.573857143,53.72814286,19.52
"200","08/01/1974",26.71957143,72.96828571,14.16
"201","09/01/1974",15.08928571,98.79214286,14.7
"202","10/01/1974",57.551,110.8545714,16.59
"203","11/01/1974",42.60285714,111.8235714,14.56
"204","12/01/1974",139.7188571,101.8412857,32.2
"205","01/01/1975",170.7277143,90.98542857,99.69
"206","02/01/1975",211.2528571,74.80614286,317.69
"207","03/01/1975",190.29,92.87785714,276.35
"208","04/01/1975",59.951,87.50385714,185.05
"209","05/01/1975",47.76985714,76.18914286,45.96170662
"210","06/01/1975",0.461714286,60.47971429,23.2240969
"211","07/01/1975",0.711571429,55.71628571,15.1576031
"212","08/01/1975",2.102142857,85.99171429,11.35387132
"213","09/01/1975",37.20514286,90.92742857,10.36
"214","10/01/1975",37.37271429,110.8058571,14.43
"215","11/01/1975",50.47271429,117.3625714,21.67
"216","12/01/1975",185.5077143,103.634,52.51
"217","01/01/1976",191.6278571,93.28557143,215.69
"218","02/01/1976",154.8254286,78.82071429,241.33
"219","03/01/1976",109.7127143,90.491,240.9
"220","04/01/1976",25.85414286,90.72071429,80.5
"221","05/01/1976",35.07742857,74.50071429,27.13
"222","06/01/1976",0.962428571,66.049,22.28
"223","07/01/1976",1.869,67.78585714,15.25
"224","08/01/1976",3.451142857,85.41085714,11.23
"225","09/01/1976",123.8908571,93.66628571,10.44
"226","10/01/1976",17.76914286,124.3817143,11.17
"227","11/01/1976",30.89385714,119.3414286,9.09
"228","12/01/1976",83.42171429,100.738,19.46
"229","01/01/1977",90.76042857,97.88714286,49.22
"230","02/01/1977",228.361,78.50328571,90.8
"231","03/01/1977",163.8837143,86.80114286,317.41
"232","04/01/1977",24.004,90.13257143,96.37
"233","05/01/1977",13.33742857,77.41214286,27.6
"234","06/01/1977",0.043428571,58.26071429,33.51
"235","07/01/1977",4.093285714,62.37871429,9.17
"236","08/01/1977",2.406714286,81.48657143,7.73
"237","09/01/1977",46.12971429,97.66,3.7
"238","10/01/1977",49.14642857,122.171,7.56
"239","11/01/1977",114.9138571,113.2114286,35.04
"240","12/01/1977",125.7404286,105.968,35.33
"241","01/01/1978",196.3621429,98.62771429,241.76
"242","02/01/1978",157.868,77.77771429,314.28
"243","03/01/1978",96.79042857,91.66642857,229.88
"244","04/01/1978",57.40714286,89.88571429,139.01
"245","05/01/1978",10.10028571,81.21771429,47.32
"246","06/01/1978",0.037571429,57.19628571,22.39
"247","07/01/1978",1.546285714,56.69171429,12.71
"248","08/01/1978",1.146,80.37685714,8.26
"249","09/01/1978",15.11285714,98.54,5.1
"250","10/01/1978",13.50114286,114.8038571,14.26
"251","11/01/1978",168.796,106.9707143,21.67
"252","12/01/1978",178.585,101.1108571,49.37854762
"253","01/01/1979",165.2258571,92.45557143,278.27
"254","02/01/1979",109.5425714,88.01785714,233.64
"255","03/01/1979",174.647,91.75185714,213.53
"256","04/01/1979",47.90971429,85.84657143,154.32
"257","05/01/1979",8.782714286,79.32671429,68.89
"258","06/01/1979",0.047857143,59.98342857,16.54
"259","07/01/1979",2.753857143,57.6,16.47
"260","08/01/1979",1.379142857,88.142,8.76
"261","09/01/1979",11.031,105.4048571,6.11
"262","10/01/1979",65.018,115.8851429,14.43
"263","11/01/1979",49.05714286,109.2322857,41.06
"264","12/01/1979",108.8237143,96.98242857,53.58
"265","01/01/1980",141.114,102.7225714,112.26
"266","02/01/1980",116.8928571,81.61957143,159.48
"267","03/01/1980",166.054,87.19985714,205.62
"268","04/01/1980",43.27457143,94.576,126.3
